"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","Symbol","Chr","Type","CHP_115","CHP_118","CHP_137","CHP_198","CHP_69","IPF_182","IPF_202","IPF_92"
"Up","ENSG00000258476",8.37436610357507,"5.98e-10","LINC02207","15q26.2","lncRNA",2.43835729225606,2.73371540412585,3.26987519304848,3.1481503929349,3.61565839549143,5.44636844999939,12.0852238214043,7.72861565496764
"Up","AC010980.1",8.36493583803485,"2.66e-06",NA,"NANA",NA,2,2,2,2,2.64436331118535,4.78625707255398,9.02796728552636,5.50353565097904
"Up","ENSG00000204936",8.14856171414234,"2.88e-11","CD177","19q13.31","protein_coding",5.45176430143964,3.07372442305504,3.52700828563143,3.67325441973311,5.023602797167,8.17816682711535,13.7008778998559,10.6120248976498
"Up","AL049651.1",8.01670325096392,"5.01e-04",NA,"NANA",NA,2,2,2,2,2,2.50722396959903,7.26468633209872,3.61743666153096
"Up","AC105265.3",7.89762916348986,"1.16e-04",NA,"NANA",NA,2,2,2,2,2,3.98155631638142,7.048534923661,3.45948135449826
"Up","ENSG00000148795",7.62625929953841,"3.36e-07","CYP17A1","10q24.32","protein_coding",2,2.73371540412585,2,2,2.45981581789212,4.74151468964851,8.79910345127802,6.80977042942116
"Up","ENSG00000196946",7.17099382737625,"1.63e-03","ZNF705A","12p13.31","protein_coding",2,2,2,2,2,2.88176276806099,6.31199449156998,3.82602671235434
"Up","ENSG00000282607",7.02915620444994,"2.34e-08","MGAM","CHR_HSCHR7_2_CTG6","protein_coding",6.6723787349615,5.78830759979852,5.72598042084185,5.91733917113861,7.32330113654441,8.29888168057255,14.8857088111573,10.6919007786805
"Up","AL157371.2",6.9711496152855,"8.08e-05",NA,"NANA",NA,2,2,2,2,2.24814995706144,4.19571224143429,6.35232291168591,4.78380917135596
"Up","AC091173.1",6.95748798182845,"1.06e-05",NA,"NANA",NA,2,2.28803016573722,2.95675405242379,2,2.24814995706144,4.05652979782797,8.18009977226511,5.63867234479689
"Up","ENSG00000167612",6.83489561566605,"4.75e-04","ANKRD33","12q13.13","protein_coding",2,2,2,2.31412704204778,2,3.03793156486001,6.13836344923925,5.26173757692737
"Up","AC073172.1",6.79851320134126,"2.24e-07",NA,"NANA",NA,2,2,2.95675405242379,2.31412704204778,2.80795861781523,5.06573977185444,8.36392912915091,7.182696077962
