"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","Symbol","Chr","Type","NSIP_73","NSIP_117","NSIP_122","NSIP_173","NSIP_179","NSIP_187","NSIP_197","NSIP_203","NSIP_80","NSIP_63","NSIP_81","NSIP_82","NSIP_84","NSIP_93","CHP_115","CHP_118","CHP_137","CHP_198","CHP_69"
"Up","ENSG00000229807",8.84795255233919,"1.30e-10","XIST","Xq13.2","lncRNA",5.11986566012083,4.76959895698501,14.1046077445162,14.4175755173907,13.8752369883466,14.6891839667372,14.5064707990421,13.5864088848971,3.43095580202561,6.90538696834647,13.8187309527418,13.2380729772903,12.9483623336956,3.99996210276719,5.45995320896512,3.02553785538067,3.25692109635143,5.83355133521698,4.03745756653679
"Up","ENSG00000169894",6.91772172623953,"3.08e-02","MUC3A","7q22.1","protein_coding",6.19081214369987,2.2638294624759,2,2.44007388495817,2,2,2,2,2.22604640628046,7.09482258422775,5.2540408092085,6.10875903505507,3.92779187864471,4.60329881533377,2,2,2,2,2
"Up","ENSG00000270641",6.78433116634042,"1.63e-03","TSIX","Xq13.2","lncRNA",4.30461401648177,2,5.59523663159888,5.30988122555961,5.14829194447565,6.14498209482529,6.02849069426901,3.06742864668279,2,7.99117890047788,4.62384978060555,6.90177804314949,4.2914415637614,4.08088140910095,2,2,2,2.31153553045869,2.2420349737961
"Up","ENSG00000282758",6.18724845466062,"5.14e-02","IGKV1-9","CHR_HG2290_PATCH","IG_V_gene",2.80780279273712,2.2638294624759,2,2,2,3.04013649734454,5.66841592226075,2.28586258253548,2,2.95194266748223,6.52644422188471,2.26381795388467,5.18626863351199,4.70890841634328,2,2,2,2,2
"Up","ENSG00000211660",6.09348559683977,"2.69e-02","IGLV2-23","22q11.22","IG_V_gene",3.21004646181012,2.67986016680653,3.91511574534017,2,2.45898451326376,2.70827847479553,5.94654262676607,2,2.22604640628046,2.55310280165477,8.09024056250739,3.68130130157578,5.30474854661657,7.05773448380936,2,2,2,2,2.63038590899679
"Up","ENSG00000282282",5.89483353118202,"4.76e-02","IGKV1-16","CHR_HG2290_PATCH","IG_V_gene",2.24809253460728,2.48678951327912,2,2,2.24766867985293,5.68166612871008,3.88883978309556,2.28586258253548,2,2.95194266748223,5.77728345888885,2.26381795388467,5.21075581844157,4.15750207293479,2,2,2,2,2
"Up","ENSG00000170180",5.85889375532819,"8.60e-02","GYPA","4q31.21","protein_coding",2.64423241048815,2,2.48121636789189,2,2.24766867985293,4.05979363509901,6.44134125356607,2,2,5.71679177387389,2.26136541807285,4.07396779302433,2.39136742908851,2.54747183869422,2,2,2,2,2
"Up","ENSG00000144481",5.85652629083591,"3.33e-02","TRPM8","2q37.1","protein_coding",4.60078536899563,2.2638294624759,2,2,2.80665226567374,2.70827847479553,2,2.52434248610076,2.42142591237103,7.22668405832702,3.8407506404059,5.2058192011532,4.38047631796834,3.25372725253966,2,2,2,2,2.2420349737961
"Up","ENSG00000169876",5.78038228180889,"2.08e-02","MUC17","7q22.1","protein_coding",4.88354623920217,2.48678951327912,2,2.23675208435155,2,2.88372853841526,3.48658491274927,3.34140101252482,2.22604640628046,6.11714031144384,3.47897863635701,4.81138007188031,2.95226502145557,3.62145426928154,2,2,2,2,2
"Up","ENSG00000130226",5.73799289206924,"6.33e-02","DPP6","7q36.2","protein_coding",4.76907582014333,2.2638294624759,2.48121636789189,2,2.24766867985293,2.70827847479553,2,2,2,6.60655442629338,4.12974916151906,6.15823689898067,3.16770737562586,4.08088140910095,2,2.27159735132948,2,2,2
