Regulation,Ensembl ID,log2 Fold Change,Adj.Pval,Symbol,Chr,Type,NSIP_73,NSIP_117,NSIP_122,NSIP_173,NSIP_179,NSIP_187,NSIP_197,NSIP_203,NSIP_80,NSIP_63,NSIP_81,NSIP_82,NSIP_84,NSIP_93,HEALTHY_24,HEALTHY_30,HEALTHY_32
Up,ENSG00000201098,15.38671977,5.56E-21,RNY1,7q36.1,misc_RNA,13.01200085,9.62500701,9.643956998,10.55642146,10.45989311,9.961407062,9.691322138,8.418323793,10.58412042,10.49960568,12.87851228,12.84271541,13.55695542,14.10420462,2,2,2
Up,ENSG00000200795,15.35988302,5.48E-25,RNU4-1,12q24.23,snRNA,13.46118454,9.998556874,11.191068,11.04302422,11.40232502,11.30064807,12.51365232,9.257385835,11.72090471,8.963266758,13.09330411,11.8955712,12.51538236,13.37026676,2,2,2
Up,ENSG00000269900,15.28393705,6.90E-44,RMRP,9p13.3,lncRNA,18.94877753,15.06774156,14.24859097,15.6720143,15.85886798,16.39556818,15.73005803,13.32399839,16.7884809,14.92191208,19.09020156,19.08204743,19.95126207,19.63803862,2.875342688,3.886767675,3.442444154
Up,ENSG00000202538,14.17852606,3.32E-39,RNU4-2,12q24.23,snRNA,15.32070759,11.28359076,12.18200845,12.83832499,13.09212051,13.30172121,14.15846102,11.22874525,13.45463855,10.76415812,14.55986518,14.13998382,14.5222776,14.4335573,2.187861428,2.511983174,2
Up,ENSG00000199568,13.71481132,3.51E-18,RNU5A-1,15q22.31,snRNA,12.38648177,8.557727322,9.560195277,10.15163428,10.67239318,9.292986391,13.36467727,7.317515122,10.52125883,9.557013452,11.70114271,11.51016719,12.0571287,12.2547471,2.187861428,2,2
Up,ENSG00000274618,13.52039411,7.00E-21,H4C6,6p22.2,protein_coding,11.95102581,9.112351363,10.4299276,9.510235047,9.463984561,8.953056258,10.29591178,9.696472084,9.704965364,8.060155263,9.029977018,10.69212073,11.540629,9.965744698,2,2,2
Up,ENSG00000286522,13.44788553,1.86E-20,H3C2,6p22.2,protein_coding,11.81285192,8.784535795,10.89267661,9.218289657,9.058635899,9.159090319,10.99271902,9.893474743,9.49043828,7.843329387,8.5746792,10.56925997,10.84602801,9.98786368,2,2,2
Up,ENSG00000280652,13.18769288,4.30E-26,SCARNA5,CHR_HG2232_PATCH,scaRNA,11.42611764,11.11845341,9.732335575,11.7998641,11.84900224,11.99444231,10.49040292,10.29935715,12.51524174,10.5255687,12.04402652,11.37681916,13.30633286,12.26625509,2.354054815,2,2
Up,ENSG00000263934,13.07111717,4.75E-47,SNORD3A,17p11.2,snoRNA,15.25533656,16.3758095,17.29785309,17.63074435,17.6795838,17.06271471,17.57553086,13.45917764,18.03070347,12.76893116,14.85908606,15.27933304,15.15046541,14.76186574,4.482703946,2.360652009,4.364956762
Up,ENSG00000238741,13.01423383,2.83E-48,SCARNA7,3q25.33,scaRNA,12.69711066,13.26750673,12.34655467,13.6563481,13.58745087,13.39690127,11.83845973,12.24881406,13.89027698,9.666077272,12.55390645,12.37059168,13.23665409,12.55801489,2.187861428,2.648936706,2
Up,ENSG00000239039,12.96132208,6.34E-17,SNORD13,8p12,snoRNA,8.675021987,9.255285915,9.809819783,10.72220496,10.76972309,10.10504386,10.40767889,7.677083835,11.19757034,5.287373576,8.776129262,7.709367259,8.492918818,8.02492001,2,2,2
Up,ENSG00000197061,12.92827899,8.50E-21,H4C3,6p22.2,protein_coding,9.993157778,9.71233971,10.46166864,9.629896062,9.755979293,9.396837652,10.55251768,9.826504525,10.25303424,6.827077786,9.117379406,8.692377786,9.538189722,8.49332151,2,2,2
Up,ENSG00000207181,12.62215384,6.32E-09,SNORA14B,1q42.3,snoRNA,12.30866327,4.665826194,7.797136006,4.722695943,5.722827131,5.610847759,4.649406881,3.462457117,5.573935188,8.637892531,12.78983716,12.15767097,12.86702445,13.00781229,2.187861428,2,2.193015684
Up,ENSG00000266019,12.46712744,1.14E-13,MIR3609,7q22.1,miRNA,6.985813492,9.413136933,8.864525257,10.75859228,10.66708405,9.602703672,8.583965366,7.05989127,10.63872731,3.067237024,7.498622269,6.687116121,8.207912084,7.573063875,2,2,2
Up,ENSG00000200156,12.46007263,2.71E-15,RNU5B-1,15q22.31,snRNA,8.701130999,8.172403413,8.148694639,9.656840151,10.02621844,9.820667694,11.25677469,7.102645084,10.01956572,5.440785918,7.798077728,7.201276485,7.852385014,8.041934215,2,2,2
Up,ENSG00000275379,12.45703268,2.65E-17,H3C11,6p22.1,protein_coding,10.91424217,7.924448896,9.30830554,8.15632215,8.242573501,7.964653357,9.615750533,8.53997574,8.529192387,6.294406096,8.489875697,9.521844791,10.41938076,9.053491996,2,2,2
Up,ENSG00000265735,12.44719248,6.19E-18,RN7SL5P,9p23,misc_RNA,9.941769334,8.790606445,8.692654558,8.437549844,8.397156069,8.63686708,9.871072972,6.46396749,9.285941664,6.680710916,9.049862498,9.185015545,10.00773765,10.42616874,2,2,2
Up,ENSG00000212402,12.31954348,3.17E-12,SNORA74B,5q35.1,snoRNA,11.29416159,6.030373731,7.455211843,6.99591449,6.891830838,8.480182478,8.646061044,5.463751819,7.998182016,7.172060517,10.87263319,10.89265059,11.54680224,11.80824238,2,2.191566477,2
Up,ENSG00000168298,12.2866753,1.01E-31,H1-4,6p22.2,protein_coding,12.00442306,11.14830784,12.68862118,11.60380081,11.15117057,11.34243476,11.9129632,11.20380226,11.99845588,8.597664393,9.86100996,11.04243527,11.65743712,10.63960316,2.354054815,2.191566477,2
Up,ENSG00000278771,12.16977977,6.91E-38,RN7SL3,14q21.3,misc_RNA,12.96593464,11.72392229,12.54697821,11.84058237,11.53772439,11.88298606,12.11172236,9.514500485,12.26098039,8.505004085,11.51741871,12.72658143,13.09966639,12.07597306,2,2.648936706,2.193015684
Up,ENSG00000278588,12.00906465,1.12E-16,H2BC10,6p22.2,protein_coding,9.801321376,8.035969932,10.15179349,8.55041629,8.436915107,8.272883085,9.477430598,8.868896935,8.907141999,6.077545444,6.619386014,8.098663196,8.723555286,7.769718503,2,2,2
Up,ENSG00000276168,11.93409874,4.08E-64,RN7SL1,14q21.3,misc_RNA,20.61529148,19.60231815,19.72615154,19.28148536,19.29993251,19.58358722,20.12425167,17.27524748,20.17538847,15.6233843,19.05429861,19.42192109,20.19325882,20.41748937,5.600021949,8.93393358,6.860841139
Up,ENSG00000277157,11.92426847,2.40E-16,H4C4,6p22.2,protein_coding,11.17346635,8.339068993,9.500326149,8.71329206,8.506511258,8.330848198,9.59228495,8.107970317,9.144133814,7.936588635,9.526863941,10.0052798,11.11104163,9.606517823,2,2,2.193015684
Up,ENSG00000278705,11.92043527,5.40E-18,H4C2,6p22.2,protein_coding,10.46126521,9.052983239,10.37999014,9.150392424,9.267503376,8.831675445,10.62368885,9.209290493,10.01631307,7.503487647,9.047391751,9.178304724,10.07572693,9.16382221,2,2.191566477,2
Up,ENSG00000184270,11.89687593,8.51E-18,H2AC21,1q21.2,protein_coding,9.786494276,7.935449194,8.392923734,8.105069606,7.813422314,7.803924111,9.053679627,8.766259021,8.764509274,6.985120655,7.393603896,9.099983601,9.531287761,8.770114587,2,2,2
Up,ENSG00000184357,11.8453422,8.44E-21,H1-5,6p22.1,protein_coding,11.78294397,9.300657262,11.14581094,9.859862107,9.515535065,9.83151973,11.76690208,10.46314464,9.974465231,9.239093045,8.388105421,10.35389562,10.62332371,9.684431684,2,2,2.363228869
Up,ENSG00000265185,11.83368718,1.71E-13,SNORD3B-1,17p11.2,snoRNA,8.344154416,8.867284801,7.04617666,9.972579615,6.110285769,9.976850604,8.844491181,7.204294768,8.011312096,3.402244509,9.657350917,8.647732679,7.558575728,6.532576771,2,2,2
Up,ENSG00000273703,11.71544607,2.36E-16,H2BC14,6p22.1,protein_coding,9.667945342,7.263836056,9.580746059,7.827897068,7.607115809,7.637223472,9.32442904,8.559289895,7.97155783,6.770300262,6.950835935,8.56096651,8.974169001,7.803367536,2,2,2
Up,ENSG00000252835,11.68806859,3.33E-24,SCARNA21,17p13.1,scaRNA,9.965898805,11.32129582,8.321455531,10.67319323,11.50536592,10.33488253,9.734835142,8.856459479,11.81313689,8.405981494,11.01915417,9.804929983,12.07408735,11.91637395,2.354054815,2,2.193015684
Up,ENSG00000277775,11.65195422,2.47E-15,H3C7,6p22.2,protein_coding,11.06817704,7.935449194,10.25981756,8.690292194,8.213732719,8.55691909,9.698666056,9.054564257,8.785041326,6.711196382,7.669020989,9.742609985,9.978604215,8.975937428,2.187861428,2,2
Up,ENSG00000185130,11.58952802,4.07E-15,H2BC13,6p22.1,protein_coding,9.856572408,6.931621576,9.241037967,7.718475211,7.241230272,7.391195474,9.314902999,8.107970317,7.685166471,5.929830221,6.684435676,8.692377786,8.859817224,7.678370912,2,2,2
Up,ENSG00000262074,11.58232934,9.01E-12,SNORD3B-2,17p11.2,snoRNA,6.634856427,9.143517351,7.469976147,8.718985187,6.45819298,10.09992384,8.630785887,5.935177752,6.972155826,2,9.712973773,8.338254445,7.497561504,7.149897599,2,2,2
Up,ENSG00000274997,11.45942463,8.11E-15,H2AC12,6p22.1,protein_coding,9.514441623,7.451779818,8.453608779,7.795933004,7.446405746,7.74610601,9.256386796,7.480378337,7.926062342,4.273204851,6.874835975,8.453903787,9.051460256,7.918392535,2,2,2
Up,ENSG00000287080,11.40913207,1.14E-13,H3C3,6p22.2,protein_coding,11.11640246,7.22849628,9.525279743,7.695558487,7.388595085,7.399554061,9.536000431,7.856418407,7.967072303,7.009856375,8.137057983,9.900447834,9.965350955,9.050692731,2,2,2.193015684
Up,ENSG00000200488,11.17903431,1.38E-13,RN7SKP203,2p12,misc_RNA,7.723447649,7.868152961,5.769328282,7.19695222,7.607115809,7.679023285,7.028770565,5.36184064,8.651643316,5.021516535,8.543459121,8.190456248,8.745191205,9.410842582,2,2,2
Up,ENSG00000252316,11.17452215,3.91E-11,RNY4,7q36.1,misc_RNA,9.012774677,6.204164417,5.905894266,6.400694868,6.95294054,5.552075039,6.072301226,4.173621971,6.981081569,5.579441441,8.231499906,8.005693571,9.076330431,10.17558283,2,2,2
Up,ENSG00000274641,11.10773376,3.27E-14,H2BC17,6p22.1,protein_coding,10.46634864,7.583489063,9.620989718,8.109410885,7.508788531,7.918867989,9.59228495,7.669993952,8.144399133,7.87059567,6.88594132,9.388653923,9.281102075,8.336676138,2.187861428,2,2
Up,ENSG00000197153,11.09459556,4.25E-13,H3C12,6p22.1,protein_coding,9.812009808,5.631000005,8.271764172,6.574047019,5.979332228,6.62373624,8.00650257,6.911483973,6.760369262,6.854650021,6.645758873,8.381743072,8.918125793,7.692806381,2,2,2
Up,ENSG00000275126,11.03364631,4.00E-13,H4C13,6p22.1,protein_coding,8.982343014,6.626902348,9.201774491,7.33681215,7.439304836,7.08407244,9.13171347,6.746041151,7.712221155,4.428052843,6.170283707,7.192422443,7.834553717,6.741414784,2,2,2
Up,ENSG00000200959,11.02799527,4.42E-12,SNORA74A,5q31.2,snoRNA,8.677946432,6.240097848,5.861793194,6.187296519,6.63019166,7.608668574,4.873598929,4.396165088,8.240452049,6.372777793,8.920828777,8.435261286,8.738015224,8.930979156,2,2,2
Up,ENSG00000276410,11.00354763,1.43E-13,H2BC3,6p22.2,protein_coding,7.986649147,6.898276435,9.283446297,7.654556849,7.460503566,7.644274753,8.776713488,7.843872436,8.323506011,5.440785918,5.005133477,7.21007652,7.617113911,6.148679607,2,2,2
Up,ENSG00000086570,10.97578354,1.12E-09,FAT2,5q33.1,protein_coding,7.032259301,6.52862863,7.513383573,3.29403227,7.182904983,5.988689214,5.391405783,3.462457117,5.709004772,6.680710916,9.498202933,6.298899646,10.26983752,6.874006822,2,2,2
Up,ENSG00000124575,10.97481891,4.44E-26,H1-3,6p22.2,protein_coding,11.04004053,9.385327088,11.14810783,10.09584282,9.165771053,10.02626746,10.71705189,10.44352969,9.896408931,8.744906465,8.54696157,9.868842947,10.87084433,9.34153164,2,2,2.515462468
Up,AC253572.1,10.88691131,2.27E-12,NA,NANA,NA,6.136478528,9.389332894,6.965123187,7.795933004,5.959615125,9.12924558,7.690173779,6.718816304,5.852097434,5.021516535,8.005773879,7.805405384,7.310277737,5.922385087,2,2,2
Up,AC005050.3,10.88584323,6.39E-10,NA,NANA,NA,4.579240509,9.363094099,3.488060135,7.801309771,9.220643353,7.073663402,5.978878368,10.05730169,8.864366545,6.253563657,8.332366867,6.123690464,6.371139846,10.6681927,2,2.191566477,2
