"Regulation","Ensembl ID","log2 Fold Change","Adj.Pval","Symbol","Chr","Type","NSIP_73","NSIP_117","NSIP_122","NSIP_173","NSIP_179","NSIP_187","NSIP_197","NSIP_203","NSIP_80","NSIP_63","NSIP_81","NSIP_82","NSIP_84","NSIP_93","IPF_182","IPF_202","IPF_92"
"Up","ENSG00000229807",10.5218477946604,"2.97e-06","XIST","Xq13.2","lncRNA",5.19639139488373,4.84851991987107,14.1810543863781,14.5176304341113,13.9558312732269,14.7663180041706,14.5861014275657,13.6647865066203,3.4937640460329,6.9893021000564,13.9412809210072,13.3156697752852,13.0540225139416,4.0357108280482,4.42035158659662,3.27242787065032,2
"Up","ENSG00000134184",9.4172085999106,"3.43e-02","GSTM1","1p13.3","protein_coding",2,7.52761273314299,9.29967772943995,8.06079002512745,2,2.91957656532484,4.5264063487638,2,2.24076954699737,2,2.28241124382657,8.94458264666399,9.08179342657396,9.68213659437887,2.28410037084381,2,2
"Up","ENSG00000270641",8.33458462466971,"2.98e-03","TSIX","Xq13.2","lncRNA",4.37376175605713,2,5.66552497766678,5.40017158604298,5.22003669330679,6.21787518367198,6.10337866618775,3.10895087110678,2,8.07658155402319,4.72723955359533,6.97687575083541,4.37617989213747,4.11727199874549,2,2,2
"Up","ENSG00000132972",7.71185968482877,"2.54e-02","RNF17","13q12.12","protein_coding",4.0659091460829,2.27962952404498,2,6.6487210256853,2.48140256247077,2.73869869445858,2,2.30027309215264,2.4470454608871,7.8595099056545,6.19361987883087,5.39622699713138,3.4204236264327,3.13251281674557,2,2,2
"Up","AL645929.2",7.1626143351146,"3.84e-02",NA,"NANA",NA,3.99558992813558,3.83454841798936,4.68417045242146,2,2.26068828249103,2,5.52041786380177,2,3.29453679788181,4.89732374772934,7.12711610120784,2,5.15059419512167,5.14891097930595,2,2,2
"Up","ENSG00000115361",7.1315297019968,"1.90e-02","ACADL","2q34","protein_coding",3.76138446399819,4.61663882681066,4.11761552266629,2,3.12981107002342,2.91957656532484,2.96515226467177,2,3.89698545449026,6.82223465102054,6.42904430213317,4.44536383967442,4.91435397961273,3.65366763789285,2,2,2
"Up","ENSG00000178662",7.09224020517445,"2.87e-02","CSRNP3","2q24.3","protein_coding",4.31722353835936,3.65022747346483,2.50331830210367,2,3.47635639444225,2.53184805551954,2,2.30027309215264,3.18355605042243,7.34677806887365,4.77359549853444,4.87820121399645,5.78056955364437,2.77858002903295,2,2,2
"Up","ENSG00000251611",7.06795261488788,"2.14e-02","FAM160A1-DT","4q31.3","lncRNA",2.26205555421484,4.61663882681066,3.17146965084859,2.65392136802693,3.57555502839953,3.7873447358999,2,2.30027309215264,4.94860887071306,4.16134229352311,7.1536492054238,2.70949607783665,5.96225066910495,3.41649592913784,2,2,2
"Up","ENSG00000275624",6.93835049464332,"3.32e-02","PRB3","CHR_HSCHR12_3_CTG2","protein_coding",3.13429753631896,5.15602046733229,6.60752713002962,2.46706319417919,6.95901061981248,6.97892462775161,4.5264063487638,2.30027309215264,4.26725964355833,2,6.80880926274035,2,2.2236253101389,3.65366763789285,2,2,2.21349274652398
"Up","ENSG00000139767",6.86676000714114,"4.22e-02","SRRM4","12q24.23","protein_coding",4.13295960267193,2.5137598066657,2.87573304495846,2,2.67278775214458,2.29029464815903,2,2,2.4470454608871,7.23717492148641,4.5253097655297,5.66060185647871,4.42203555122283,3.28148059985997,2,2,2
"Up","ENSG00000178031",6.77298798384135,"4.77e-02","ADAMTSL1","9p22.2","protein_coding",4.67310962518531,2.27962952404498,2.50331830210367,2,2.26068828249103,2,2,2.30027309215264,2.4470454608871,7.0553757810493,4.00976383386581,5.75412989730553,4.06544058356791,3.94926092785032,2,2,2
"Up","ENSG00000232192",6.77175261063773,"4.21e-02","KIF26B-AS1","1q44","lncRNA",3.25960551560914,4.84851991987107,2,2,4.3671062235033,2.91957656532484,2,2,3.96567884140836,3.99172469819306,7.00614237905434,3.04174861177348,5.00753496023223,3.65366763789285,2,2,2
"Up","ENSG00000130226",6.72794996585072,"5.23e-02","DPP6","7q36.2","protein_coding",4.84293234267623,2.27962952404498,2.50331830210367,2,2.26068828249103,2.73869869445858,2,2,2,6.68982174894947,4.22522577195585,6.23162591279719,3.22731766755965,4.11727199874549,2,2,2
"Up","ENSG00000188162",6.69487473634464,"8.21e-02","OTOG","11p15.1","protein_coding",5.37319525259546,2,2,2,2,2,2,2,2.24076954699737,6.68982174894947,4.41265105111537,6.04065861083695,3.4204236264327,3.28148059985997,2,2,2
"Up","ENSG00000142449",6.63417012015127,"5.68e-02","FBN3","19p13.2","protein_coding",5.34519198647526,2.5137598066657,2,2,2.48140256247077,2,2,2,2.24076954699737,6.03402156641797,5.20423229691379,6.13060589119965,3.74299670737285,3.65366763789285,2,2,2
"Up","ENSG00000124440",6.59990254637294,"3.84e-02","HIF3A","19q13.32","protein_coding",4.13295960267193,2.89183327351249,3.17146965084859,2,2,3.22486764203519,3.94740757811338,2,2.62748389653321,6.34704840018325,4.08521688171898,5.21070476417052,5.59285528883661,3.41649592913784,2,2,2
"Up","ENSG00000081138",6.59970877512294,"6.37e-02","CDH7","18q22.1","protein_coding",4.48059604452575,2.5137598066657,2,2,2.26068828249103,2.29029464815903,2,2,2,7.09780145689252,3.84587581432371,4.9589942652003,4.59213954429702,2.77858002903295,2,2,2
"Up","AP001993.1",6.58299146366651,"4.22e-02",NA,"NANA",NA,4.71747584963983,3.32030090373899,3.17146965084859,2,3.12981107002342,2.29029464815903,2,2,3.06332117327356,7.67567146912937,5.78212853316758,5.33699800000622,6.21759754728053,3.94926092785032,2.28410037084381,2,2
